air_travel,banking,death,divine,envy,gain,independence,injury,masculine,negotiate,payment,programming,reading,religion,sleep,swearing_terms,technology,tourism,weakness,worship,outcome
0.04379562,0.02919708,0.474452555,0.02189781,0.01459854,0.065693431,0.01459854,0.343065693,0.02919708,0,0.02919708,0.02189781,0.131386861,0.01459854,0.131386861,0.116788321,0.03649635,0.02919708,0.02919708,0.00729927,0.179379562
0.028169014,0.070422535,0.23943662,0.077464789,0.028169014,0.077464789,0,0.190140845,0.021126761,0.014084507,0.112676056,0.028169014,0.098591549,0.014084507,0.084507042,0.070422535,0.042253521,0.042253521,0.070422535,0.021126761,-0.007711268
0.013927577,0.048746518,0.125348189,0.034818942,0.006963788,0.048746518,0.020891365,0.118384401,0.020891365,0.006963788,0.090529248,0.006963788,0.069637883,0.027855153,0.139275766,0.04178273,0.020891365,0.027855153,0.006963788,0.020891365,-0.012033426
0.00931677,0,0.389751553,0.041925466,0.00931677,0.007763975,0.00931677,0.332298137,0.00931677,0,0.026397516,0,0.055900621,0.00931677,0.110248447,0.063664596,0.00931677,0,0.041925466,0.01552795,0.275597826
0.042553191,0.095744681,0.319148936,0.031914894,0.031914894,0.021276596,0,0.223404255,0.021276596,0.021276596,0.095744681,0.021276596,0.095744681,0.010638298,0.117021277,0.095744681,0.063829787,0,0.031914894,0.010638298,0.046957447
0.040816327,0.030612245,0.357142857,0.040816327,0.020408163,0.051020408,0.020408163,0.418367347,0.020408163,0.020408163,0.06122449,0.030612245,0.06122449,0.040816327,0.12244898,0.071428571,0.040816327,0.071428571,0.020408163,0.040816327,0.142428571
0.031578947,0.031578947,0.315789474,0.031578947,0.042105263,0.031578947,0.010526316,0.273684211,0.031578947,0.031578947,0.021052632,0.031578947,0.094736842,0.010526316,0.084210526,0.115789474,0.042105263,0.010526316,0.094736842,0,0.140557895
0.025641026,0.076923077,0.145299145,0.076923077,0.017094017,0.034188034,0,0.170940171,0.025641026,0.008547009,0.076923077,0.017094017,0.085470085,0.017094017,0.145299145,0.05982906,0.008547009,0,0.017094017,0.051282051,0.062948718
0.025210084,0.016806723,0.210084034,0.050420168,0.025210084,0.016806723,0.008403361,0.277310924,0.025210084,0.016806723,0.033613445,0.016806723,0.092436975,0.025210084,0.134453782,0.084033613,0.025210084,0.050420168,0.025210084,0.016806723,0.113747899
0.034013605,0.054421769,0.380952381,0.027210884,0.040816327,0.034013605,0.006802721,0.319727891,0.040816327,0.013605442,0.047619048,0.027210884,0.12244898,0.020408163,0.108843537,0.06122449,0.034013605,0.054421769,0.040816327,0.006802721,0.115530612
0.025862069,0.034482759,0.344827586,0.060344828,0.043103448,0.051724138,0.043103448,0.336206897,0.025862069,0.025862069,0.043103448,0.025862069,0.112068966,0.051724138,0.25,0.112068966,0.060344828,0.025862069,0.068965517,0.051724138,0.194913793
0.018518519,0.043209877,0.209876543,0.018518519,0.024691358,0.055555556,0.018518519,0.222222222,0.030864198,0.037037037,0.074074074,0.043209877,0.111111111,0.012345679,0.049382716,0.061728395,0.049382716,0.012345679,0.037037037,0,-0.033209877
0.01459854,0.058394161,0.262773723,0.03649635,0.03649635,0.058394161,0.02189781,0.226277372,0.051094891,0.02919708,0.087591241,0.01459854,0.087591241,0.02919708,0.124087591,0.065693431,0.01459854,0.02919708,0.04379562,0.02189781,0.074547445
0.013888889,0.020833333,0.222222222,0.034722222,0.034722222,0.048611111,0.034722222,0.25,0.013888889,0.006944444,0.034722222,0.020833333,0.118055556,0.013888889,0.104166667,0.048611111,0.0625,0.020833333,0.006944444,0.013888889,0.035659722
0.046242775,0.01734104,0.265895954,0.057803468,0.040462428,0.052023121,0,0.260115607,0.046242775,0.011560694,0.052023121,0.005780347,0.098265896,0.01734104,0.092485549,0.069364162,0.052023121,0.023121387,0.040462428,0.023121387,0.107271676
0.063291139,0.050632911,0.189873418,0.044303797,0.018987342,0.044303797,0.03164557,0.246835443,0.03164557,0.006329114,0.063291139,0.018987342,0.075949367,0.050632911,0.196202532,0.063291139,0.037974684,0.006329114,0.025316456,0.03164557,0.075075949
0.024096386,0.036144578,0.259036145,0.024096386,0.030120482,0.036144578,0.048192771,0.234939759,0.012048193,0.018072289,0.036144578,0.060240964,0.13253012,0.006024096,0.096385542,0.06626506,0.048192771,0.030120482,0.036144578,0.012048193,0.000939759
0.065868263,0.017964072,0.25748503,0.017964072,0.005988024,0.02994012,0.011976048,0.25748503,0.017964072,0.011976048,0.047904192,0.05988024,0.179640719,0.005988024,0.113772455,0.011976048,0.089820359,0.017964072,0.02994012,0.005988024,-0.050065868
0.062111801,0.086956522,0.198757764,0.00621118,0.02484472,0.068322981,0.01242236,0.167701863,0.02484472,0.01863354,0.074534161,0.031055901,0.124223602,0,0.149068323,0.043478261,0.062111801,0.01242236,0.043478261,0,-0.083608696
0.032679739,0.071895425,0.261437908,0.039215686,0.026143791,0.052287582,0.019607843,0.274509804,0.039215686,0.013071895,0.104575163,0.026143791,0.130718954,0.026143791,0.058823529,0.078431373,0.032679739,0.013071895,0.039215686,0.019607843,0.019660131
0.00729927,0.072992701,0.233576642,0.02919708,0.00729927,0.01459854,0.03649635,0.262773723,0.051094891,0.03649635,0.080291971,0.072992701,0.080291971,0.02189781,0.124087591,0.065693431,0.03649635,0.01459854,0.04379562,0.00729927,0.032065693
0.012195122,0.054878049,0.31097561,0.042682927,0.042682927,0.042682927,0.036585366,0.256097561,0.030487805,0.018292683,0.073170732,0.018292683,0.067073171,0.024390244,0.146341463,0.073170732,0.042682927,0.036585366,0.030487805,0.006097561,0.09695122
0.038043478,0.086956522,0.217391304,0.032608696,0.02173913,0.027173913,0.038043478,0.22826087,0.005434783,0.032608696,0.076086957,0.010869565,0.130434783,0.005434783,0.092391304,0.065217391,0.059782609,0.010869565,0.065217391,0.005434783,-0.039733696
0.017751479,0.059171598,0.094674556,0.017751479,0.023668639,0.053254438,0.029585799,0.142011834,0.035502959,0.017751479,0.082840237,0.029585799,0.023668639,0.017751479,0.059171598,0.106508876,0.041420118,0.029585799,0.041420118,0.00591716,-0.036071006
0.031055901,0.093167702,0.347826087,0.031055901,0.01863354,0.055900621,0.031055901,0.310559006,0.031055901,0.02484472,0.043478261,0.043478261,0.080745342,0.01242236,0.124223602,0.099378882,0.055900621,0.02484472,0.068322981,0.01863354,0.087763975
0.028169014,0.056338028,0.204225352,0.028169014,0.021126761,0.035211268,0.021126761,0.267605634,0.021126761,0.007042254,0.063380282,0.007042254,0.070422535,0.021126761,0.042253521,0.063380282,0.014084507,0,0.021126761,0.007042254,0.063394366
0.031007752,0.07751938,0.23255814,0.046511628,0.03875969,0.023255814,0.015503876,0.255813953,0.015503876,0.015503876,0.069767442,0.062015504,0.085271318,0.031007752,0.07751938,0.054263566,0.069767442,0.007751938,0.046511628,0.015503876,0.015604651
0.021505376,0.048387097,0.23655914,0.043010753,0.010752688,0.037634409,0.021505376,0.241935484,0.032258065,0.005376344,0.053763441,0.010752688,0.059139785,0.048387097,0.123655914,0.086021505,0.021505376,0.016129032,0.021505376,0.02688172,0.12722043
