Date,City,air_travel,banking,death,divine,envy,gain,independence,injury,masculine,negotiate,payment,programming,reading,religion,sleep,swearing_terms,technology,tourism,weakness,worship,count
2020-02-05,Ince-in-Makerfield,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,426
2020-02-05,Ipswich,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426
2020-02-05,Keswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,426
2020-02-05,Kingston upon Hull,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426
2020-02-05,Kington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426
2020-02-05,Knaresborough,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,426
2020-02-05,Lazonby,0.0196078431372549,0.0,0.5882352941176471,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.35294117647058826,0.09803921568627451,0.0,0.0,0.0,0.11764705882352941,0.0,0.1568627450980392,0.0392156862745098,0.058823529411764705,0.0392156862745098,0.0,0.0,426
2020-02-05,Leeds,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.2,426
2020-02-05,Leicester,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426
2020-02-05,Lincoln,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,426
2020-02-05,Liphook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426
2020-02-05,Liverpool,0.0,0.0,0.5,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.0,426
2020-02-05,London,0.02608695652173913,0.06086956521739131,1.191304347826087,0.08695652173913043,0.0,0.043478260869565216,0.034782608695652174,0.6521739130434783,0.05217391304347826,0.0,0.06086956521739131,0.02608695652173913,0.06086956521739131,0.06956521739130435,0.06086956521739131,0.034782608695652174,0.02608695652173913,0.02608695652173913,0.0,0.06956521739130435,426
2020-02-05,Luton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426
2020-02-05,Manchester,0.0,0.0,0.45454545454545453,0.0,0.0,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,426
